first_name,last_name,birth_year,death_year,birth_place,full_name
Clifford D.,Simak,1904,1988,"Millville, WI, USA",Clifford D. Simak
Mark,Clifton,1906,1963,"Philadelphia, PA, USA",Mark Clifton
Robert A.,Heinlein,1907,1988,"Butler, MO, USA",Robert A. Heinlein
Philip José,Farmer,1908,2009,"Terre Haute, IN, USA",Philip José Farmer
Fritz,Leiber,1910,1992,"Chicago, IL, USA",Fritz Leiber
Alfred,Bestor,1913,1987,"New York City, NY, USA",Alfred Bestor
Frank,Riley,1915,1996,"Hibbing, MN, USA",Frank Riley
Arthur C.,Clarke,1917,2008,"Minehead, Somerset, UK",Arthur C. Clarke
Frederik,Pohl,1919,2013,"New York City, NY, USA",Frederik Pohl
Isaac,Asimov,1920,1992,"Petrovichi, USSR",Isaac Asimov
Frank,Herbert,1920,1986,"Tacoma, WA, USA",Frank Herbert
James,Blish,1921,1975,"East Orange, NJ, USA",James Blish
Walter M.,"Miller, Jr.",1923,1996,"New Smyrna Beach, FL, USA","Walter M. Miller, Jr."
Kate,Wilhelm,1928, ,"Toledo, OH, USA",Kate Wilhelm
Philip K.,Dick,1928,1982,"Chicago, IL, USA",Philip K. Dick
Ursula K.,Le Guin,1929, ,"Berkeley, CA, USA",Ursula K. LeGuin
Gene,Wolfe,1931, ,"New York City, NY, USA",Gene Wolfe
John,Brunner,1934,1995,"Wallingford, Oxfordshire, UK",John Brunner
Jack,McDevitt,1935, ,"Philadelphia, PA, USA",Jack McDevitt
Robert,Silverberg,1935, ,"Brooklyn, NY, USA",Robert Silverberg
Roger,Zelazny,1937,1995,"Euclid, OH, USA",Roger Zelazny
Larry,Niven,1938, ,"Los Angeles, CA, USA",Larry Niven
Alexei,Panshin,1940, ,"Lansing, MI, USA",Alexei Panshin
Gregory,Benford,1941, ,"Mobile, AL, USA",Gregory Benford
C. J. ,Cherryh,1942, ,"St. Louis, MO, USA",C. J. Cherryh
Samuel R.,Delaney,1942, ,"New York City, NY, USA",Samuel R. Delaney
Joe,Haldeman,1943, ,"Oklahoma City, OK, USA",Joe Haldeman
Vernor,Vinge,1944, ,"Waukegan, IL, USA",Vernor Vinge
Elizabeth,Moon,1945, ,"McAllen, TX, USA",Elizabeth Moon
Connie,Willis,1945, ,"Denver, CO, USA",Connie Willis
Michael,Bishop,1945, ,"Lincoln, NE, USA",Michael Bishop
Elizabeth Ann,Scarborough,1947, ,"Kansas City, MO, USA",Elizabeth Ann Scarborough
Octavia,Butler,1947,2006,"Pasadena, CA, USA",Octavia Butler
Joan D.,Vinge,1948, ,"Baltimore, MD, USA",Joan D. Vinge
Dan,Simmons,1948, ,"Peoria, IL, USA",Dan Simmons
Vonda N.,McIntyre,1948, ,"Louisville, KY, USA",Vonda N. McIntyre
William,Gibson,1948, ,"Conway, SC, USA",William Gibson
Lois McMaster,Bujold,1949, ,"Columbus, OH, USA",Lois McMaster Bujold
Michael,Swanwick,1950, ,"Schenectady, NY, USA",Michael Swanwick
David,Brin,1950, ,"Glendale, CA, USA",David Brin
Orson Scott,Card,1951, ,"Richland, WA, USA",Orson Scott Card
Greg,Bear,1951, ,"San Diego, CA, USA",Greg Bear
Kim Stanley,Robinson,1952, ,"Waukegan, IL, USA",Kim Stanley Robinson
Robert Charles,Wilson,1953, ,"Whittier, CA, USA",Robert Charles Wilson
Catherine,Asaro,1955, ,"Oakland, CA, USA",Catherine Asaro
Pat,Murphy,1955, ,"WA, USA",Pat Murphy
Susanna,Clarke,1959, ,"Nottingham, UK",Susanna Clarke
Neal,Stephenson,1959, ,"Fort Meade, MD, USA",Neal Stephenson
Nicola,Griffith,1960, ,"Yorkshire, UK",Nicola Griffith
Robert J.,Sawyer,1960, ,"Ottawa, ON, Canada",Robert J. Sawyer
Neil,Gaiman,1960, ,"Portchester, Hampshire, UK",Neil Gaiman
Cixin,Liu,1963, ,"Yangquan, Shanxi, China",Cixin Liu
Michael,Chabon,1963, ,"D.C, USA",Michael Chabon
Jo,Walton,1964, ,"Aberdare, Wales, UK",Jo Walton
J. K.,Rowling,1965, ,"Yate, Gloucestershire, UK",J. K. Rowling
Ann,Leckie,1966, ,"Toledo, OH, USA",Ann Leckie
Jeff,VanderMeer,1968, ,"Bellefonte, PA, USA",Jeff VanderMeer
John,Scalzi,1969, ,"Fairfield, CA, USA",John Scalzi
China,Miéville,1972, ,"Norwich, UK",China Miéville
Paolo,Bacigalupi,1972, ,"Paonia, CO, USA",Paolo Bacigalupi
N. K.,Jemisin,1972, ,"Iowa City, IA, USA",N. K. Jemisin
Naomi,Novik,1973, ,"New York City, NY, USA",Naomi Novik
